Egyp,050,Egyptian hieroglyphs,Egyptian Hieroglyphs,L-to-R,5.2,"1,080",Ancient/historic
Elba,226,Elbasan,Elbasan,L-to-R,7.0,40,Ancient/historic
Elym,128,Elymaic,Elymaic,R-to-L,12.0,23,Ancient/historic
Ethi,430,Ethiopic (Geʻez),Ethiopic,L-to-R,3.0,495,
Geok,241,Khutsuri (Asomtavruli and Nuskhuri),Georgian,Varies,,,"Unicode groups Geok and Geor together as ""Georgian"""
Geor,240,Georgian (Mkhedruli and Mtavruli),Georgian,L-to-R,1.0,173,"For Unicode, see also Geok"
Glag,225,Glagolitic,Glagolitic,L-to-R,4.1,132,Ancient/historic
Gong,312,Gunjala Gondi,Gunjala Gondi,L-to-R,11.0,63,
Gonm,313,Masaram Gondi,Masaram Gondi,L-to-R,10.0,75,
Goth,206,Gothic,Gothic,L-to-R,3.1,27,Ancient/historic
Gran,343,Grantha,Grantha,L-to-R,7.0,85,Ancient/historic
Grek,200,Greek,Greek,L-to-R,1.0,518,Sometimes expressed as boustrophedon (mirroring of alternate lines rather than purely left-to-right)
Gujr,320,Gujarati,Gujarati,L-to-R,1.0,91,
Guru,310,Gurmukhi,Gurmukhi,L-to-R,1.0,80,
Hanb,503,Han with Bopomofo (alias for Han + Bopomofo),,Varies,,,"See Hani, Bopo"
Hang,286,"Hangul (Hangŭl, Hangeul)",Hangul,L-to-R,1.0,"11,739",Hangul syllables relocated in 2.0
Hani,500,"Han (Hanzi, Kanji, Hanja)",Han,L-to-R,1.0,"89,233",
Hano,371,Hanunoo (Hanunóo),Hanunoo,L-to-R,3.2,21,
Hans,501,Han (Simplified variant),,Varies,,,Subset Hani
Hant,502,Han (Traditional variant),,Varies,,,Subset Hani
Hatr,127,Hatran,Hatran,R-to-L,8.0,26,Ancient/historic
Hebr,125,Hebrew,Hebrew,R-to-L,1.0,134,
Hira,410,Hiragana,Hiragana,L-to-R,1.0,379,
Hluw,080,"Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)",Anatolian Hieroglyphs,L-to-R,8.0,583,Ancient/historic
Hmng,450,Pahawh Hmong,Pahawh Hmong,L-to-R,7.0,127,
Hmnp,451,Nyiakeng Puachue Hmong,Nyiakeng Puachue Hmong,L-to-R,12.0,71,
Hrkt,412,Japanese syllabaries (alias for Hiragana + Katakana),Katakana or Hiragana,Varies,,,"See Hira, Kana"
Hung,176,Old Hungarian (Hungarian Runic),Old Hungarian,R-to-L,8.0,108,Ancient/historic
Inds,610,Indus (Harappan),,R-to-L,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Ital,210,"Old Italic (Etruscan, Oscan, etc.)",Old Italic,L-to-R,3.1,39,Ancient/historic
Jamo,284,Jamo (alias for Jamo subset of Hangul),,Varies,,,Subset Hang
Java,361,Javanese,Javanese,L-to-R,5.2,90,
Jpan,413,Japanese (alias for Han + Hiragana + Katakana),,Varies,,,"See Hani, Hira and Kana"
Jurc,510,Jurchen,,L-to-R,,,Not in Unicode
Kali,357,Kayah Li,Kayah Li,L-to-R,5.1,47,
Kana,411,Katakana,Katakana,L-to-R,1.0,304,
Khar,305,Kharoshthi,Kharoshthi,R-to-L,4.1,68,Ancient/historic
Khmr,355,Khmer,Khmer,L-to-R,3.0,146,
Khoj,322,Khojki,Khojki,L-to-R,7.0,62,Ancient/historic
Kitl,505,Khitan large script,,L-to-R,,,Not in Unicode
Kits,288,Khitan small script,,T-to-B,,,Not in Unicode
Knda,345,Kannada,Kannada,L-to-R,1.0,89,
Kore,287,Korean (alias for Hangul + Han),,L-to-R,,,See Hani and Hang
Kpel,436,Kpelle,,L-to-R,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Kthi,317,Kaithi,Kaithi,L-to-R,5.2,67,Ancient/historic
Lana,351,Tai Tham (Lanna),Tai Tham,L-to-R,5.2,127,
Laoo,356,Lao,Lao,L-to-R,1.0,82,
Latf,217,Latin (Fraktur variant),,Varies,,,Typographic variant of Latin
Latg,216,Latin (Gaelic variant),,L-to-R,,,Typographic variant of Latin
Latn,215,Latin,Latin,L-to-R,1.0,"1,366",See Latin script in Unicode
Leke,364,Leke,,L-to-R,,,Not in Unicode
Lepc,335,Lepcha (Róng),Lepcha,L-to-R,5.1,74,
Limb,336,Limbu,Limbu,L-to-R,4.0,68,
Lina,400,Linear A,Linear A,L-to-R,7.0,341,Ancient/historic
Linb,401,Linear B,Linear B,L-to-R,4.0,211,Ancient/historic
Lisu,399,Lisu (Fraser),Lisu,L-to-R,5.2,48,
Loma,437,Loma,,L-to-R,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Lyci,202,Lycian,Lycian,L-to-R,5.1,29,Ancient/historic
Lydi,116,Lydian,Lydian,R-to-L,5.1,27,Ancient/historic
Mahj,314,Mahajani,Mahajani,L-to-R,7.0,39,Ancient/historic
Maka,366,Makasar,Makasar,L-to-R,11.0,25,Ancient/historic
Mand,140,"Mandaic, Mandaean",Mandaic,R-to-L,6.0,29,
Mani,139,Manichaean,Manichaean,R-to-L,7.0,51,Ancient/historic
Marc,332,Marchen,Marchen,L-to-R,9.0,68,Ancient/historic
Maya,090,Mayan hieroglyphs,,,,,Not in Unicode
Medf,265,"Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)",Medefaidrin,L-to-R,11.0,91,
Mend,438,Mende Kikakui,Mende Kikakui,R-to-L,7.0,213,
Merc,101,Meroitic Cursive,Meroitic Cursive,R-to-L,6.1,90,Ancient/historic
Mero,100,Meroitic Hieroglyphs,Meroitic Hieroglyphs,R-to-L,6.1,32,Ancient/historic
Mlym,347,Malayalam,Malayalam,L-to-R,1.0,117,
Modi,324,"Modi, Moḍī",Modi,L-to-R,7.0,79,Ancient/historic
Mong,145,Mongolian,Mongolian,T-to-B,3.0,167,"Includes Clear, Manchu scripts"
Moon,218,"Moon (Moon code, Moon script, Moon type)",,,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Mroo,264,"Mro, Mru",Mro,L-to-R,7.0,43,
Mtei,337,"Meitei Mayek (Meithei, Meetei)",Meetei Mayek,L-to-R,5.2,79,
Mult,323,Multani,Multani,L-to-R,8.0,38,Ancient/historic
Mymr,350,Myanmar (Burmese),Myanmar,L-to-R,3.0,223,
Nand,311,Nandinagari,Nandinagari,L-to-R,12.0,65,Ancient/historic
Narb,106,Old North Arabian (Ancient North Arabian),Old North Arabian,R-to-L,7.0,32,Ancient/historic
Nbat,159,Nabataean,Nabataean,R-to-L,7.0,40,Ancient/historic
Newa,333,"Newa, Newar, Newari, Nepāla lipi",Newa,L-to-R,9.0,94,
Nkdb,085,"Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)",,L-to-R,,,Not in Unicode
Nkgb,420,"Nakhi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)",,L-to-R,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Nkoo,165,N’Ko,NKo,R-to-L,5.0,62,
Nshu,499,Nüshu,Nushu,L-to-R,10.0,397,
Ogam,212,Ogham,Ogham,,3.0,29,Ancient/historic
Olck,261,"Ol Chiki (Ol Cemet’, Ol, Santali)",Ol Chiki,L-to-R,5.1,48,
Orkh,175,"Old Turkic, Orkhon Runic",Old Turkic,R-to-L,5.2,73,Ancient/historic
Orya,327,Oriya (Odia),Oriya,L-to-R,1.0,90,
Osge,219,Osage,Osage,L-to-R,9.0,72,
Osma,260,Osmanya,Osmanya,L-to-R,4.0,40,
Palm,126,Palmyrene,Palmyrene,R-to-L,7.0,32,Ancient/historic
Pauc,263,Pau Cin Hau,Pau Cin Hau,L-to-R,7.0,57,
Perm,227,Old Permic,Old Permic,L-to-R,7.0,43,Ancient/historic
Phag,331,Phags-pa,Phags-pa,T-to-B,5.0,56,Ancient/historic
Phli,131,Inscriptional Pahlavi,Inscriptional Pahlavi,R-to-L,5.2,27,Ancient/historic
Phlp,132,Psalter Pahlavi,Psalter Pahlavi,R-to-L,7.0,29,Ancient/historic
Phlv,133,Book Pahlavi,,R-to-L,,,Not in Unicode
Phnx,115,Phoenician,Phoenician,R-to-L,5.0,29,Ancient/historic
Piqd,293,Klingon (KLI pIqaD),,L-to-R,,,Rejected for inclusion in the Unicode Standard[10][11]
Plrd,282,Miao (Pollard),Miao,L-to-R,6.1,149,
Prti,130,Inscriptional Parthian,Inscriptional Parthian,R-to-L,5.2,30,Ancient/historic
Qaaa,900,Reserved for private use (start),,,,,Not in Unicode
Qaai,908,(Private use),,,,,"Not in Unicode (Before version 5.2, this was used instead of Zinh)"
Qabx,949,Reserved for private use (end),,,,,Not in Unicode
Rjng,363,"Rejang (Redjang, Kaganga)",Rejang,L-to-R,5.1,37,
Rohg,167,Hanifi Rohingya,Hanifi Rohingya,R-to-L,11.0,50,
Roro,620,Rongorongo,,,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Runr,211,Runic,Runic,L-to-R,3.0,86,Ancient/historic
Samr,123,Samaritan,Samaritan,R-to-L,5.2,61,
Sara,292,Sarati,,,,,Not in Unicode
Sarb,105,Old South Arabian,Old South Arabian,R-to-L,5.2,32,Ancient/historic
Saur,344,Saurashtra,Saurashtra,L-to-R,5.1,82,
Sgnw,095,SignWriting,SignWriting,T-to-B,8.0,672,
Shaw,281,Shavian (Shaw),Shavian,L-to-R,4.0,48,
Shrd,319,"Sharada, Śāradā",Sharada,L-to-R,6.1,94,
Shui,530,Shuishu,,L-to-R,,,Not in Unicode
Sidd,302,"Siddham, Siddhaṃ, Siddhamātṛkā",Siddham,L-to-R,7.0,92,Ancient/historic
Sind,318,"Khudawadi, Sindhi",Khudawadi,L-to-R,7.0,69,
Sinh,348,Sinhala,Sinhala,L-to-R,3.0,110,
Sogd,141,Sogdian,Sogdian,R-to-L,11.0,42,Ancient/historic
Sogo,142,Old Sogdian,Old Sogdian,R-to-L,11.0,40,Ancient/historic
Sora,398,Sora Sompeng,Sora Sompeng,L-to-R,6.1,35,
Soyo,329,Soyombo,Soyombo,L-to-R,10.0,83,Ancient/historic
Sund,362,Sundanese,Sundanese,L-to-R,5.1,72,
Sylo,316,Syloti Nagri,Syloti Nagri,L-to-R,4.1,44,
Syrc,135,Syriac,Syriac,R-to-L,3.0,88,
Syre,138,Syriac (Estrangelo variant),,R-to-L,,,Typographic variant of Syriac
Syrj,137,Syriac (Western variant),,R-to-L,,,Typographic variant of Syriac
Syrn,136,Syriac (Eastern variant),,R-to-L,,,Typographic variant of Syriac
Tagb,373,Tagbanwa,Tagbanwa,L-to-R,3.2,18,
Takr,321,"Takri, Ṭākrī, Ṭāṅkrī",Takri,L-to-R,6.1,67,
Tale,353,Tai Le,Tai Le,L-to-R,4.0,35,
Talu,354,New Tai Lue,New Tai Lue,L-to-R,4.1,83,
Taml,346,Tamil,Tamil,L-to-R,1.0,123,
Tang,520,Tangut,Tangut,L-to-R,9.0,"6,892",Ancient/historic
Tavt,359,Tai Viet,Tai Viet,L-to-R,5.2,72,
Telu,340,Telugu,Telugu,L-to-R,1.0,98,
Teng,290,Tengwar,,L-to-R,,,Not in Unicode
Tfng,120,Tifinagh (Berber),Tifinagh,L-to-R,4.1,59,
Tglg,370,"Tagalog (Baybayin, Alibata)",Tagalog,L-to-R,3.2,20,
Thaa,170,Thaana,Thaana,R-to-L,3.0,50,
Thai,352,Thai,Thai,L-to-R,1.0,86,
Tibt,330,Tibetan,Tibetan,L-to-R,2.0,207,"Added in 1.0, removed in 1.1 and reintroduced in 2.0"
Tirh,326,Tirhuta,Tirhuta,L-to-R,7.0,82,
Ugar,040,Ugaritic,Ugaritic,L-to-R,4.0,31,Ancient/historic
Vaii,470,Vai,Vai,L-to-R,5.1,300,
Visp,280,Visible Speech,,L-to-R,,,Not in Unicode
Wara,262,Warang Citi (Varang Kshiti),Warang Citi,L-to-R,7.0,84,
Wcho,283,Wancho,Wancho,L-to-R,12.0,59,
Wole,480,Woleai,,R-to-L,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Xpeo,030,Old Persian,Old Persian,L-to-R,4.1,50,Ancient/historic
Xsux,020,"Cuneiform, Sumero-Akkadian",Cuneiform,L-to-R,5.0,"1,234",Ancient/historic
Yezi,192,Yezidi,,R-to-L,,,Not in Unicode
Yiii,460,Yi,Yi,L-to-R,3.0,"1,220",
Zanb,339,"Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)",Zanabazar Square,L-to-R,10.0,72,Ancient/historic
Zinh,994,Code for inherited script,Inherited,Inherited,,571,
Zmth,995,Mathematical notation,,L-to-R,,,Not a 'script' in Unicode
Zsym,996,Symbols,,,,,Not a 'script' in Unicode
Zsye,993,Symbols (emoji variant),,,,,Not a 'script' in Unicode
Zxxx,997,Code for unwritten documents,,,,,Not a 'script' in Unicode
Zyyy,998,Code for undetermined script,Common,,,"7,805",
Zzzz,999,Code for uncoded script,Unknown,,,"976,118",All other code points
